TIMESTAMP,CLOSE,HIGH,LOW,OPEN,VOLUME
2016-12-16 08:30:00,1506.13,1507.5,1506.13,1507.5,65089
2016-12-16 08:35:00,1506.2,1507.97,1501.904,1507.97,6031
2016-12-16 08:40:00,1503.63,1505.5,1501.35,1505.5,4417
2016-12-16 08:45:00,1502.1,1503.755,1500.05,1503.61,4853
2016-12-16 08:50:00,1503.14,1503.14,1501.02,1502.165,1314
2016-12-16 08:55:00,1498.59,1502.73,1498.56,1501.06,4010
2016-12-16 09:00:00,1500.65,1501.82,1498.475,1498.475,5705
2016-12-16 09:05:00,1498.51,1500.93,1497.63,1500.65,3943
2016-12-16 09:10:00,1498.8,1498.8853,1498.09,1498.445,2100
2016-12-16 09:15:00,1499.8239999999998,1500.06,1498.925,1498.93,4900
2016-12-16 09:20:00,1497.83,1499.51,1497.82,1499.5,2700
2016-12-16 09:25:00,1494.47,1497.76,1494.1003,1497.76,4027
2016-12-16 09:30:00,1492.51,1495.55,1492.48,1495.55,5800
2016-12-16 09:35:00,1491.6,1493.5,1491.6,1493.29,4072
2016-12-16 09:40:00,1493.65,1494.0,1491.5,1491.54,1050
2016-12-16 09:45:00,1496.28,1496.61,1494.79,1494.8,4500
2016-12-16 09:50:00,1493.98,1496.4999,1493.98,1496.15,2700
2016-12-16 09:55:00,1493.08,1494.52,1493.07,1494.445,2295
2016-12-16 10:00:00,1492.88,1493.845,1492.88,1493.805,2505
2016-12-16 10:05:00,1490.21,1492.78,1490.21,1492.45,4351
2016-12-16 10:10:00,1489.25,1490.88,1489.25,1490.51,3300
2016-12-16 10:15:00,1487.25,1489.77,1487.215,1489.1,4287
2016-12-16 10:20:00,1486.91,1487.69,1486.89,1487.215,1400
2016-12-16 10:25:00,1484.01,1486.89,1484.01,1486.89,3100
2016-12-16 10:30:00,1482.96,1484.98,1480.73,1484.475,22614
2016-12-16 10:35:00,1485.01,1487.4451,1483.89,1483.89,13633
2016-12-16 10:40:00,1487.05,1487.21,1485.32,1486.74,2950
2016-12-16 10:45:00,1486.75,1487.505,1486.42,1487.25,1600
2016-12-16 10:50:00,1486.805,1487.37,1486.75,1487.37,4139
2016-12-16 10:55:00,1484.42,1487.31,1484.42,1487.31,2777
2016-12-16 11:00:00,1483.23,1485.648,1483.23,1485.58,2713
2016-12-16 11:05:00,1482.89,1484.0,1482.89,1483.83,2200
2016-12-16 11:10:00,1482.32,1483.0,1481.24,1482.74,2886
2016-12-16 11:15:00,1480.41,1482.08,1480.36,1482.03,1824
2016-12-16 11:20:00,1478.88,1480.52,1478.05,1480.41,6145
2016-12-16 11:25:00,1479.8,1481.114,1478.73,1478.98,3632
2016-12-16 11:30:00,1482.53,1483.05,1479.81,1480.1,5522
2016-12-16 11:35:00,1482.0,1482.89,1481.99,1482.89,1200
2016-12-16 11:40:00,1482.0,1482.36,1480.37,1482.0,3100
2016-12-16 11:45:00,1481.22,1482.8632,1480.2,1481.35,12754
2016-12-16 11:50:00,1481.77,1482.81,1480.88,1481.25,4400
2016-12-16 11:55:00,1477.19,1481.81,1477.08,1481.78,9402
2016-12-16 12:00:00,1475.98,1477.51,1475.14,1477.125,9303
2016-12-16 12:05:00,1475.39,1476.875,1474.44,1476.65,7944
2016-12-16 12:10:00,1473.75,1475.9999,1473.745,1475.22,4757
2016-12-16 12:15:00,1475.26,1475.29,1473.13,1474.04,4635
2016-12-16 12:20:00,1476.38,1476.38,1475.0,1475.14,10147
2016-12-16 12:25:00,1482.79,1483.15,1476.41,1476.45,13258
2016-12-16 12:30:00,1480.35,1482.1,1480.095,1482.09,2938
2016-12-16 12:35:00,1480.47,1480.5,1479.26,1480.395,3300
2016-12-16 12:40:00,1478.665,1480.12,1476.92,1480.08,2183
2016-12-16 12:45:00,1476.96,1478.21,1476.75,1477.13,3900
2016-12-16 12:50:00,1477.0,1477.78,1475.6,1477.22,5200
2016-12-16 12:55:00,1476.795,1477.67,1476.12,1476.245,9400
2016-12-16 13:00:00,1475.88,1477.84,1475.88,1477.5232,2500
2016-12-16 13:05:00,1478.68,1479.19,1475.5,1476.0,3200
2016-12-16 13:10:00,1480.24,1480.59,1477.72,1478.03,2700
2016-12-16 13:15:00,1480.0,1480.2,1479.66,1480.02,3800
2016-12-16 13:20:00,1480.19,1481.81,1480.05,1480.05,3220
2016-12-16 13:25:00,1479.98,1480.85,1478.47,1480.85,3455
2016-12-16 13:30:00,1480.0,1480.75,1479.0675,1479.97,1300
2016-12-16 13:35:00,1479.65,1479.65,1479.12,1479.51,1200
2016-12-16 13:40:00,1478.0,1479.96,1478.0,1479.96,1434
2016-12-16 13:45:00,1477.89,1478.99,1477.89,1478.99,1700
2016-12-16 13:50:00,1479.27,1479.5,1477.06,1477.62,2200
2016-12-16 13:55:00,1478.2075,1479.65,1478.06,1479.57,4110
2016-12-16 14:00:00,1480.0,1481.07,1478.26,1478.7,5551
2016-12-16 14:05:00,1481.26,1481.68,1480.67,1481.03,2600
2016-12-16 14:10:00,1480.18,1481.69,1480.18,1481.38,2900
2016-12-16 14:15:00,1481.0,1481.0,1479.66,1479.945,4700
2016-12-16 14:20:00,1481.3,1481.31,1479.825,1481.17,16049
2016-12-16 14:25:00,1481.42,1481.68,1480.38,1481.29,6912
2016-12-16 14:30:00,1480.75,1481.49,1480.64,1480.88,2700
2016-12-16 14:35:00,1481.64,1481.78,1480.72,1481.15,3769
2016-12-16 14:40:00,1481.4,1482.2,1481.27,1481.59,6647
2016-12-16 14:45:00,1479.7,1481.77,1479.7,1481.77,7680
2016-12-16 14:50:00,1482.57,1486.07,1479.83,1480.0,8273
2016-12-16 14:55:00,1483.46,1483.8399,1482.64,1483.0,12127
2016-12-16 15:00:00,1484.28,1484.3,1482.38,1483.77,80179
